num,summary,grade,review
0,"사이즈: 네이비펜실ST 긴팔세트 / S(55.5~66)
사이즈잘 맞아요착용감편해요원단보통이에요",5,"체구가 작은 딸아이 잠옷으로 구입했는데 사이즈 고를수 있어서 좋아요
국산이라 좋구요
여름 잠옷에 이어 긴팔도 구입했네요
잘 입을게요"
1,"사이즈: 네이비펜실ST 긴팔세트 / S(55.5~66)
원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,배송도 빠르고 옷도 부드럽고 너무좋아요 겨울이랑 여름잠옷도 다가지고잇습니다!
2,"사이즈: 네이비펜실ST 여성세트 / M(66.5~77)
사이즈잘 맞아요착용감편해요원단보통이에요",5,사촌누나에게 선물로 사줬는데 좋아해주셔서 5점 드려요. 평소 입을일 없다고 하시는데 처음 입어보신다고 좋아하셨어요.
3,"사이즈: 네이비펜실ST 여성세트 / M(66.5~77)
사이즈잘 맞아요착용감편해요원단보통이에요",5,디자인조 좋고 마음에 들어요
4,"사이즈: 네이비펜실ST 여성세트 / S(55.5~66)
원단부드러워요사이즈약간 작아요착용감편해요",4,158cm 46kg S사이즈 구매했습니다. 제 키가 작은데도 팔다리 기장이 딱 맞습니다. 저보다 키 크신분들은 분명 짧을꺼에요. 패턴이나 디자인은 정말 예쁩니다만 핏이 좀 어정쩡합니다. 살짝 부해보이는 느낌이 있네요. 원단의 질은 탄탄하고 좋으나 여름잠옷만큼 얇습니다. 봄가을 ~ 초여름용 잠옷이라고 생각하시면 됩니다. 보풀이 생기거나 늘어나는 재질이 아니라 그 점은 참 마음에 듭니다. 재질이 좋아 간절기때마다 꺼내입으면 꽤 오래 입을 수 있을듯 합니다.
5,"사이즈: 네이비펜실ST 여성세트 / S(55.5~66)
사이즈잘 맞아요착용감편해요원단보통이에요",5,사이트는 알고 있었는데 주문은 처음 주문 한거에요 근데 역시 상품평 대로 좋네요 ㅎㅎ
6,"사이즈: 네이비펜실ST 여성세트 / M(66.5~77)
사이즈잘 맞아요착용감편해요원단보통이에요",5,집사람이 편하게 입을수 있어서 좋아요
7,사이즈잘 맞아요착용감편해요원단보통이에요,4,가격대비 정말 맘에듭니다 그런데 팔이 좀 짧아서 큰사이즈를하면 또 품이 너무 클것같고....그 점만 조금 아쉽네요^^재구매 의사 있습니다
8,"사이즈: 네이비펜실ST 여성세트 / M(66.5~77)
사이즈잘 맞아요착용감아주 편해요원단보통이에요",4,일단 디자인은 예뻐요 요즘 살이 쪄서 m사이즈 주문했는데 사리즈에 비해 바지는 조금 짧고요 상의는 너무 벙벙해요.  결국 생각보다 컸디만 편히 입고 잘 수 있겠어요 그리고 순면이라 좋아요
9,"사이즈: 네이비펜실ST 여성세트 / S(55.5~66)
사이즈잘 맞아요착용감편해요원단보통이에요",5,재질과 디자인이 마음에 들어요
10,"사이즈: 네이비펜실ST 여성세트 / S(55.5~66)
원단부드러워요사이즈잘 맞아요착용감편해요",4,생각보다 괜찬아서 재 구매 한겁니다
11,"사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66)
사이즈약간 커요착용감편해요원단뻣뻣해요",5,한달사용기예뻐요오오오옹오오ㅗ오
